set ID,condition,set location,tag,note
1,MEF_LMNA--,.\Supplementary_Data\Example_segmented_images\MEF_LMNA--,c1,lamin A knockout
2,MEF_wildtype,.\Supplementary_Data\Example_segmented_images\MEF_wildtype,c1,wildtype control
