Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
xy001c1.tiff,1,1,407,103,21468,969.2762620207484,236.54346388581305,125.91050823560076,0.2871483314260823,1.878663403083073,20.0,2.98
xy001c1.tiff,1,2,168,485,2805,282.93607486307087,103.91644603357224,41.148249155669056,0.4403176364126969,2.525415981623984,11.0,3.02
xy001c1.tiff,1,3,1154,498,6235,531.6356056934325,131.4590390288459,67.83262821099729,0.2772159424654539,1.937991236605708,7.0,3.72
xy001c1.tiff,1,4,502,537,3774,335.6467529817257,95.3761048218189,54.97685381541423,0.4209658436201736,1.734841086797107,19.0,2.9
xy001c1.tiff,1,5,313,572,11321,719.9026329981913,177.6405211075476,96.54304420964344,0.2745030223283394,1.840013670190478,13.0,4.0
xy001c1.tiff,1,6,138,595,4038,242.10764773832477,73.43116490276039,70.34993162749811,0.8656835443854952,1.043798667660082,2.0,1.66
xy001c1.tiff,1,7,828,661,11246,644.7188668141176,131.52864122546956,113.5095077103008,0.3399908148352468,1.1587455877366435,2.0,2.6
xy001c1.tiff,1,8,510,822,9078,461.3452377915606,131.62640297642324,90.95066664650496,0.5359792275193461,1.4472285671968887,8.0,2.28
xy001c1.tiff,1,9,144,920,3020,372.19090885900994,95.74684084168364,49.362505541045415,0.2739588189634936,1.9396673607272468,7.0,4.27
xy002c1.tiff,2,1,653,119,5220,452.20310216782974,102.84145902637094,80.23100596006927,0.3207844386452269,1.2818168960458358,10.0,4.56
xy002c1.tiff,2,2,1213,166,2627,400.19090885900994,85.51807495360379,46.44147342347972,0.2061272929395115,1.8414160587413204,4.0,6.54
xy002c1.tiff,2,3,1161,261,2128,358.8772003600252,80.38544006697008,46.99621671195778,0.2076298313014013,1.7104661968782842,15.0,7.2
xy002c1.tiff,2,4,121,453,7746,471.5168106668145,137.41434284663174,79.70140184441789,0.4378173770143837,1.7241145032163063,7.0,2.62
xy002c1.tiff,2,5,1226,467,3586,446.30360723121805,77.32366182223117,71.52812408394539,0.226234771462118,1.081024601337009,2.0,5.95
xy002c1.tiff,2,6,316,492,17791,1164.5382386916235,173.2263929050527,155.46462059781774,0.1648552250512152,1.1142496102260089,1.0,6.5
xy003c1.tiff,3,1,199,121,6940,448.92492757477766,120.65985684837176,82.1035383608527,0.4327348696803784,1.4696060517886629,6.0,3.71
xy003c1.tiff,3,2,118,214,3503,302.4213562373095,81.64023150339024,60.646600667650105,0.4813102249712585,1.3461633563072644,3.0,3.12
xy003c1.tiff,3,3,496,312,8647,578.3218971944477,178.99766340165337,75.04440623775898,0.3248897800443598,2.3852232614719493,11.0,3.22
xy003c1.tiff,3,4,186,425,4976,416.0965004500315,92.87277811194733,76.68957867429144,0.3611620498561228,1.2110221456084354,1.0,5.64
xy003c1.tiff,3,5,991,438,2895,339.2558800164656,87.37083187953516,47.28654819828135,0.3160848385666704,1.8476889349836427,8.0,3.4
xy003c1.tiff,3,6,603,495,2364,294.1787155501902,92.34241131070095,42.18655289074117,0.3432692027911299,2.188906297934754,20.0,3.28
xy003c1.tiff,3,7,669,709,12734,598.7899346259833,157.7928573007213,107.42267686171677,0.4462988077417014,1.4688970886831012,3.0,2.28
xy003c1.tiff,3,8,1188,710,2376,365.21424945612296,95.34098442173764,40.65986388021168,0.2238519451252263,2.344842685716372,19.0,5.57
xy004c1.tiff,4,1,984,128,18591,805.0924958366749,217.61251050916283,122.5165039948863,0.3604301043486826,1.77618935746196,17.0,2.68
xy004c1.tiff,4,2,656,182,6492,613.4467888754755,158.4433842454166,62.03812646125064,0.2167876712901703,2.5539679110777342,12.0,4.4
xy004c1.tiff,4,3,797,364,3426,441.7533546995239,102.12960095522018,59.653130517648776,0.2206162560498818,1.7120576920100523,17.0,5.55
xy004c1.tiff,4,4,1013,529,3728,355.6761902332486,83.07313593123277,65.50775791180179,0.3703191583217276,1.2681419511118148,12.0,3.29
xy004c1.tiff,4,5,148,671,3430,362.94826817189073,115.9953342622572,47.387061674920034,0.3272009282713258,2.4478271106572667,20.0,4.12
xy005c1.tiff,5,1,785,552,5717,515.7005768508882,138.07048827785653,60.12366936586328,0.2701362220681035,2.296441480270822,11.0,3.31
xy005c1.tiff,5,2,288,634,8600,568.0853531617382,135.68709681163003,98.68394629795888,0.3348737697260148,1.3749662625159582,17.0,4.88
xy005c1.tiff,5,3,580,784,4789,416.36248173426384,173.5564782021643,43.77279795800774,0.3471454873353028,3.964939101417759,20.0,3.99
xy005c1.tiff,5,4,145,846,7465,495.2741699796952,124.42057213670068,83.2975409378797,0.3824267990663223,1.493688417878855,3.0,3.89
xy005c1.tiff,5,5,174,936,2588,277.4213562373095,89.08623865414509,48.09451324615232,0.4225658097645408,1.852316046909409,10.0,4.03
xy005c1.tiff,5,6,942,935,11300,577.7422074112308,162.04580592745242,102.17940550130164,0.4254221662152025,1.5858949769030326,18.0,3.73
xy005c1.tiff,5,7,72,952,4302,458.58787847868,133.21502974599574,68.04860343544158,0.2570603696789253,1.9576453155629887,10.0,4.23
xy006c1.tiff,6,1,402,349,5133,404.23253941935263,94.90454561563446,73.99671954861999,0.394746773085556,1.2825507156878333,9.0,3.87
xy006c1.tiff,6,2,1099,559,3120,226.45079348883235,81.91864886225308,49.31872136352126,0.7645691394014327,1.661005123357567,6.0,1.25
xy006c1.tiff,6,3,758,610,12417,680.9676041556469,178.95442943987152,99.6370033623648,0.3364911465416974,1.7960639461329562,6.0,3.32
