Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
xy001c1.tiff,1,1,235,374,15045,670.6894296,143.1187539,137.4301844,0.420299751,1.041392432,13.0,3.27
xy001c1.tiff,1,2,796,330,6635,333.119841,103.8723863,82.3381772,0.7513629740000001,1.261533712,14.0,1.64
xy001c1.tiff,1,3,471,539,8053,339.8477631,109.992095,93.92659062,0.876190887,1.171043197,2.0,1.26
xy001c1.tiff,1,4,1069,810,7696,566.9432175,140.7891111,85.71093797,0.3008817139999999,1.642603785,5.0,4.75
xy002c1.tiff,2,1,745,39,3261,218.4091629,71.22646594,58.8702608,0.859051013,1.209888745,2.0,1.16
xy002c1.tiff,2,2,623,94,8503,547.1858582,156.7011033,82.68648597,0.356871868,1.895123507,20.0,3.36
xy002c1.tiff,2,3,501,74,9079,400.9188309,123.1123818,99.75146459,0.7097983240000001,1.23419122,13.0,1.95
xy002c1.tiff,2,4,663,215,13346,588.9848481,181.6604838,103.1550231,0.4834513079999999,1.761043509,6.0,2.66
xy002c1.tiff,2,5,987,280,4703,256.0071427,78.51888829,76.52230831,0.901738636,1.026091476,2.0,2.05
xy002c1.tiff,2,6,1186,414,9239,815.2224382,192.135275,97.52761845,0.174695847,1.970060154,16.0,5.53
xy002c1.tiff,2,7,408,755,25454,724.1452737000001,202.57890480000003,163.47045380000003,0.609978465,1.239238652,8.0,3.41
xy003c1.tiff,3,1,626,256,13723,904.8559518,186.5244052,100.8963908,0.210620206,1.848672719,20.0,9.76
xy003c1.tiff,3,2,500,332,9056,445.5939751,110.7970697,106.8534883,0.573149157,1.036906435,3.0,2.79
xy003c1.tiff,3,3,152,369,8418,825.2163415,184.6333331,100.1269243,0.155339945,1.843992855,15.0,5.78
xy004c1.tiff,4,1,1096,465,5744,520.7005769,105.8532026,83.36550069,0.266224597,1.269748298,1.0,6.77
xy004c1.tiff,4,2,624,527,4869,265.1787156,79.24849662,78.47807845,0.8701063,1.009816986,2.0,1.67
xy004c1.tiff,4,3,888,584,3786,277.17871560000003,92.18310784,55.59229767,0.619256705,1.658199278,8.0,1.92
xy004c1.tiff,4,4,598,648,19298,760.8021279,203.3301669,135.15920669999997,0.41896595,1.504375262,16.0,4.13
xy004c1.tiff,4,5,1008,798,18410,1076.993037,215.5978464,142.7774776,0.199451755,1.510027002,18.0,5.78
xy004c1.tiff,4,6,1006,938,2385,264.45079350000003,91.72398756,40.17293838,0.428556907,2.283228244,8.0,2.92
xy005c1.tiff,5,1,252,265,7409,336.492424,107.278892,88.860272,0.8222783909999999,1.207276205,2.0,1.2
xy005c1.tiff,5,2,55,418,6110,499.0437226,107.7704183,83.70878407,0.308300252,1.287444556,1.0,5.79
xy005c1.tiff,5,3,1141,428,4477,507.5645379,115.3049092,72.39085105,0.218380781,1.592810521,5.0,6.98
xy005c1.tiff,5,4,381,447,7093,649.4528855000001,196.974131,59.50408355,0.211321908,3.31026241,15.0,4.46
xy006c1.tiff,6,1,103,384,4777,470.2091988,115.9221249,71.15121237,0.271508145,1.629236116,5.0,5.87
